,sensorValue
790,0.2533624450646743
791,0.2697818786584245
792,0.31157973022092467
793,0.32293153686154974
794,0.2697818786584245
795,0.19106044311154946
796,0.13571132201779967
797,0.08721034545529949
798,-0.004208355716575518
799,-0.13381553345095054
800,-0.23880161743532557
801,-0.2851192443884505
802,-0.31086826782595045
803,-0.36085972290407553
804,-0.4155079162634505
805,-0.4247327697790755
806,-0.3931346252478254
807,-0.3802037170447006
808,-0.4109720275915756
809,-0.4375911682165754
810,-0.4123819397009505
811,-0.3551475647009503
812,-0.31169810181032553
813,-0.2756365783728254
814,-0.20162827759157542
815,-0.08902866821657551
816,0.0013587829552996755
817,0.03063661498654957
818,0.03412514037717451
819,0.06088930053342456
820,0.0999640075646746
821,0.10781117553342456
822,0.08646913451779947
823,0.08651747436154955
824,0.13131239623654967
825,0.1775816833459245
826,0.17485048217404953
827,0.13667006225217437
828,0.1153280212365495
829,0.12195057983029955
830,0.11544081420529961
831,0.07376381225217443
832,0.03536586303342437
833,0.046782122799049475
834,0.09231019897092452
835,0.11134804076779958
836,0.08349623412717455
837,0.054025042720924565
838,0.06106654662717448
839,0.07942763061154956
840,0.06745546264279967
841,0.03776674193967455
842,0.03837904662717451
843,0.07583436889279938
844,0.10056825561154947
845,0.0785172302209245
846,0.04103773803342459
847,0.03772645873654956
848,0.06392665404904951
849,0.07189467162717467
850,0.04654042358029953
851,0.028952777095924587
852,0.05316298217404958
853,0.09149647826779961
854,0.09202015990842449
855,0.05478236693967453
856,0.03393983764279951
857,0.06226698608029957
858,0.10615956420529948
859,0.11617396850217454
860,0.09852992553342443
861,0.10054408568967443
862,0.13325404662717455
863,0.1490128356896745
864,0.11154140014279967
865,0.05469374389279946
866,0.04173060912717452
867,0.08430189818967437
868,0.1364041931115496
869,0.16826820678342447
870,0.20667421264279962
871,0.28108534545529973
872,0.36544642943967465
873,0.4129000427209244
874,0.42802235717404935
875,0.4598783142052998
876,0.5245409118615494
877,0.5756522399865494
878,0.5719139587365498
879,0.5388172790490493
880,0.5275460388146744
881,0.5373348571740495
882,0.5229295837365495
883,0.4723258239709245
884,0.43117250365842463
885,0.43480604858029936
886,0.4508790466271746
887,0.42396986693967453
888,0.35954896850217444
889,0.3214732849084243
890,0.3438707458459245
891,0.3840330993615495
892,0.3848871032677994
893,0.35432020873654935
894,0.3449745056115494
895,0.3689913513146743
896,0.37694325561154973
897,0.3335985290490495
898,0.2762433044396744
899,0.26417445678342455
900,0.2910836364709246
901,0.29412904662717465
902,0.2487862731896746
903,0.20199330443967467
904,0.1946617614709245
905,0.1960475036584246
906,0.15187294311154953
907,0.07357045287717456
908,0.02842909545529948
909,0.04060267943967455
910,0.05504017943967443
911,0.023337298580299537
912,-0.02239219360720046
913,-0.023230084232200632
914,0.013588763424049466
915,0.030177386470924494
916,0.01405604858029963
917,0.015159808345924564
918,0.05622450561154957
919,0.08802406615842462
920,0.06718153686154937
921,0.02924281615842461
922,0.03792787475217452
923,0.09041688842404949
924,0.12393251342404943
925,0.11109828490842455
926,0.09654799193967456
927,0.12023451537717467
928,0.1487953063927996
929,0.12489931029904944
